Price,Beds,Baths
"$625,000",5bed,3bath
"$385,000",3bed,2bath
"$545,000",3bed,3bath
"$499,000",2bed,1.5bath
"$375,000",4bed,2bath
"$1,799,000",4bed,3bath
"$195,000",2bed,1bath
"$240,000",2bed,2bath
"$389,900",3bed,2.5bath
"$565,000",3bed,2bath
"$650,000",3bed,2.5bath
"$549,000",3bed,3bath
"$518,000",3bed,2bath
"$399,000",3bed,2bath
"$290,000",3bed,2bath
"$379,900",4bed,2bath
"$500,000",4bed,2bath
"$115,000",3bed,2bath
"$84,900",3bed,2bath
"$478,800",3bed,2bath
"$419,900",3bed,2.5bath
"$250,000",2bed,2bath
"$526,000",3bed,2bath
"$235,000",2bed,2bath
"$169,900",2bed,2bath
"$296,900",3bed,2bath
"$875,000",4bed,3bath
"$375,000",4bed,2bath
"$3,350,000",5bed,4.5+bath
"$395,000",3bed,2.5bath
"$220,000",2bed,1.5bath
"$349,900",2bed,2bath
"$520,000",6bed,3bath
"$449,000",3bed,2.5bath
"$239,900",4bed,2bath
"$440,000",4bed,4bath
"$510,000",4bed,3bath
"$375,000",3bed,2.5bath
"$517,000",3bed,2bath
"$380,000",4bed,2bath
"$310,000",4bed,2bath
"$78,599",2bed,2bath
