Price,Beds,Baths,Sqft
499000.0,3.0,2.0,2022.0
279000.0,2.0,2.0,1131.0
484990.0,4.0,2.0,2008.0
249900.0,3.0,2.0,1200.0
365000.0,4.0,2.0,1688.0
499900.0,4.0,2.5,2283.0
424900.0,4.0,3.0,2559.0
714999.0,4.0,3.0,2743.0
299000.0,3.0,2.0,1632.0
379000.0,3.0,2.0,2098.0
580000.0,4.0,4.0,1765.0
375000.0,2.0,1.0,1100.0
1200000.0,5.0,3.5,2848.0
250000.0,2.0,2.0,1392.0
5459900.0,4.0,3.5,2436.0
499900.0,3.0,2.0,1620.0
399000.0,4.0,3.5,1872.0
640000.0,4.0,3.0,2694.0
749000.0,4.0,3.0,4234.0
499000.0,4.0,2.5,2608.0
299000.0,4.0,1.5,1349.0
239900.0,2.0,2.0,1400.0
95000.0,2.0,1.5,992.0
297000.0,3.0,2.0,1250.0
129999.0,3.0,2.5,1216.0
379900.0,3.0,2.0,1565.0
417000.0,3.0,2.0,2029.0
240000.0,1.0,1.0,739.0
410000.0,3.0,2.0,1542.0
1399000.0,5.0,5.5,4764.0
349900.0,2.0,2.0,1554.0
1450000.0,4.0,3.0,2906.0
140000.0,1.0,1.0,715.0
435000.0,4.0,2.5,2000.0
260000.0,2.0,2.5,1548.0
500000.0,4.0,2.5,2645.0
395000.0,3.0,2.0,1686.0
248000.0,2.0,2.0,583.0
199990.0,2.0,2.0,1178.0
550000.0,4.0,2.5,2325.0
249900.0,3.0,1.0,824.0
248000.0,2.0,2.0,583.0
